"time_est","time","est_hour","weekday_est","movement","count1"
"1486807805127","2017/02/11 10:10:05","10","6","1","1"
"1486810769342","2017/02/11 10:59:29","10","6","1","1"
"1486811105159","2017/02/11 11:05:05","11","6","1","1"
"1486811169142","2017/02/11 11:06:09","11","6","1","1"
"1486811170104","2017/02/11 11:06:10","11","6","1","1"
"1486811237172","2017/02/11 11:07:17","11","6","1","1"
"1486811288129","2017/02/11 11:08:08","11","6","1","1"
"1486811294139","2017/02/11 11:08:14","11","6","1","1"
"1486817317310","2017/02/11 12:48:37","12","6","1","1"
"1486817382195","2017/02/11 12:49:42","12","6","1","1"
"1486817647343","2017/02/11 12:54:07","12","6","1","1"
"1486819897255","2017/02/11 13:31:37","13","6","1","1"
"1486820056150","2017/02/11 13:34:16","13","6","1","1"
"1486820155107","2017/02/11 13:35:55","13","6","1","1"
"1486822801143","2017/02/11 14:20:01","14","6","1","1"
"1486827095355","2017/02/11 15:31:35","15","6","1","1"
"1486830531097","2017/02/11 16:28:51","16","6","1","1"
"1486869651100","2017/02/12 03:20:51","3","7","1","1"
"1486869651106","2017/02/12 03:20:51","3","7","1","1"
"1486880482120","2017/02/12 06:21:22","6","7","1","1"
"1486880482126","2017/02/12 06:21:22","6","7","1","1"
"1486892720106","2017/02/12 09:45:20","9","7","1","1"
"1486917163314","2017/02/12 16:32:43","16","7","1","1"
"1486928104252","2017/02/12 19:35:04","19","7","1","1"
"1486928104264","2017/02/12 19:35:04","19","7","1","1"
"1486944120107","2017/02/13 00:02:00","0","1","1","1"
"1486944120112","2017/02/13 00:02:00","0","1","1","1"
"1486947726110","2017/02/13 01:02:06","1","1","1","1"
"1486947726116","2017/02/13 01:02:06","1","1","1","1"
"1486951193962","2017/02/13 01:59:53","1","1","1","1"
"1486958542112","2017/02/13 04:02:22","4","1","1","1"
"1486958542119","2017/02/13 04:02:22","4","1","1","1"
"1486965752154","2017/02/13 06:02:32","6","1","1","1"
"1486965752158","2017/02/13 06:02:32","6","1","1","1"
"1486998197104","2017/02/13 15:03:17","15","1","1","2"
"1487017426077","2017/02/13 20:23:46","20","1","1","1"
"1487017667162","2017/02/13 20:27:47","20","1","1","1"
"1487036468099","2017/02/14 01:41:08","1","2","1","1"
"1487036468107","2017/02/14 01:41:08","1","2","1","1"
"1487060451238","2017/02/14 08:20:51","8","2","1","1"
"1487070625745","2017/02/14 11:10:25","11","2","1","1"
"1487070626156","2017/02/14 11:10:26","11","2","1","1"
"1487071695143","2017/02/14 11:28:15","11","2","1","1"
"1487071700081","2017/02/14 11:28:20","11","2","1","1"
"1487099680248","2017/02/14 19:14:40","19","2","1","1"
"1487099680254","2017/02/14 19:14:40","19","2","1","1"
