time_est,est_hour,weekday_est,movement,count
1487562076018,3,1,0,1
1487562370664,3,1,0,1
1487562370668,3,1,0,1
1487562376450,3,1,0,1
1487562376455,3,1,0,1
1487562670735,3,1,0,1
1487562670741,3,1,0,1
1487562676964,3,1,0,1
1487562676968,3,1,0,1
1487562970815,3,1,0,1
1487562970847,3,1,0,1
1487562977507,3,1,0,1
1487562977511,3,1,0,1
1486351593099,3,1,1,1
1486351593102,3,1,1,1
1487559966103,3,1,1,1
1487559967122,3,1,1,1
1486353697590,4,1,0,1
1486353697597,4,1,0,1
1486353703341,4,1,0,1
1486353703346,4,1,0,1
1486353997683,4,1,0,1
1486353997689,4,1,0,1
1486354003874,4,1,0,1
1486354003878,4,1,0,1
1486354297698,4,1,0,1
1486354297704,4,1,0,1
1486354304379,4,1,0,1
1486354304383,4,1,0,1
1486354597753,4,1,0,1
1486354597771,4,1,0,1
1486354604906,4,1,0,1
1486354604912,4,1,0,1
1486354897832,4,1,0,1
1486354897839,4,1,0,1
1486354905425,4,1,0,1
1486354905431,4,1,0,1
1486357000520,4,1,0,1
1486357000526,4,1,0,1
1486357000814,4,1,0,1
1486357000818,4,1,0,1
1486958540890,4,1,0,1
1486958540898,4,1,0,1
1486958846244,4,1,0,1
1486958846255,4,1,0,1
1486958849186,4,1,0,1
1486958849190,4,1,0,1
1486959146289,4,1,0,1
1486959146296,4,1,0,1
1486959149724,4,1,0,1
1486959149729,4,1,0,1
1486959446342,4,1,0,1
1486959446348,4,1,0,1
1486959450239,4,1,0,1
1486959450245,4,1,0,1
1486959746422,4,1,0,1
1486959746428,4,1,0,1
1486959750774,4,1,0,1
1486959750779,4,1,0,1
1486960046498,4,1,0,1
1486960046511,4,1,0,1
1486960051304,4,1,0,1
1486960051308,4,1,0,1
1486960346544,4,1,0,1
1486960346552,4,1,0,1
1486960351846,4,1,0,1
1486960351851,4,1,0,1
1486960646604,4,1,0,1
1486960646612,4,1,0,1
1486960652394,4,1,0,1
1486960652400,4,1,0,1
1486960946670,4,1,0,1
1486960946679,4,1,0,1
1486960952916,4,1,0,1
1486960952921,4,1,0,1
1486961246753,4,1,0,1
1486961246757,4,1,0,1
1486961253402,4,1,0,1
1486961253408,4,1,0,1
1486961546793,4,1,0,1
1486961546826,4,1,0,1
1486961553922,4,1,0,1
1486961553926,4,1,0,1
1486961846834,4,1,0,1
1486961846842,4,1,0,1
1486961854451,4,1,0,1
1486961854455,4,1,0,1
1487563270867,4,1,0,1
1487563270874,4,1,0,1
1487563277991,4,1,0,1
1487563277996,4,1,0,1
1487563570976,4,1,0,1
1487563570992,4,1,0,1
1486958542112,4,1,1,1
1486958542119,4,1,1,1
1487563571094,4,1,1,1
1487563571098,4,1,1,1
1486357300555,5,1,0,1
1486357300562,5,1,0,1
1486357301310,5,1,0,1
1486357301315,5,1,0,1
1486357600645,5,1,0,1
1486357600651,5,1,0,1
1486357601844,5,1,0,1
1486357601849,5,1,0,1
1486357900692,5,1,0,1
1486357900696,5,1,0,1
1486357902367,5,1,0,1
1486357902372,5,1,0,1
1486358200762,5,1,0,1
1486358200768,5,1,0,1
1486358202887,5,1,0,1
1486358202892,5,1,0,1
1486358500840,5,1,0,1
1486358500848,5,1,0,1
1486358503397,5,1,0,1
1486358503403,5,1,0,1
1486359403278,5,1,0,1
1486359403286,5,1,0,1
1486359407778,5,1,0,1
1486359407784,5,1,0,1
1486359703317,5,1,0,1
1486359703330,5,1,0,1
1486359708240,5,1,0,1
1486359708251,5,1,0,1
1486360003413,5,1,0,1
1486360003427,5,1,0,1
1486360008794,5,1,0,1
1486360008800,5,1,0,1
1486360303461,5,1,0,1
1486360303467,5,1,0,1
1486360309323,5,1,0,1
1486360309327,5,1,0,1
1486360603528,5,1,0,1
1486360603534,5,1,0,1
1486360609868,5,1,0,1
1486360609873,5,1,0,1
1486962419199,5,1,0,1
1486962419208,5,1,0,1
1486962453219,5,1,0,1
1486962453230,5,1,0,1
1486962719286,5,1,0,1
1486962719294,5,1,0,1
1486962753743,5,1,0,1
1486962753748,5,1,0,1
1486963019342,5,1,0,1
1486963019347,5,1,0,1
1486963054281,5,1,0,1
1486963054285,5,1,0,1
1486963319407,5,1,0,1
1486963319416,5,1,0,1
1486963354831,5,1,0,1
1486963354836,5,1,0,1
1486963619464,5,1,0,1
1486963619471,5,1,0,1
1486963655399,5,1,0,1
1486963655404,5,1,0,1
1486963919529,5,1,0,1
1486963919537,5,1,0,1
1486963955934,5,1,0,1
1486963955938,5,1,0,1
1486964219597,5,1,0,1
1486964219603,5,1,0,1
1486964256483,5,1,0,1
1486964256488,5,1,0,1
1486964519659,5,1,0,1
1486964519665,5,1,0,1
1486964557013,5,1,0,1
1486964557018,5,1,0,1
1486964819693,5,1,0,1
1486964819701,5,1,0,1
1486964857588,5,1,0,1
1486964857594,5,1,0,1
1486965119751,5,1,0,1
1486965119758,5,1,0,1
1486965158090,5,1,0,1
1486965158094,5,1,0,1
1486965419832,5,1,0,1
1486965419837,5,1,0,1
1486965458643,5,1,0,1
1486965458648,5,1,0,1
1487567481230,5,1,0,1
1487567481241,5,1,0,1
1487567484265,5,1,0,1
1487567484270,5,1,0,1
1487567781304,5,1,0,1
1487567781310,5,1,0,1
1487567784786,5,1,0,1
1487567784792,5,1,0,1
1487568081372,5,1,0,1
1487568081380,5,1,0,1
1487568085281,5,1,0,1
1487568085287,5,1,0,1
1487568351435,5,1,0,1
1487568351443,5,1,0,1
1487568385808,5,1,0,1
1487568385812,5,1,0,1
1487568651515,5,1,0,1
1487568651521,5,1,0,1
1487568686328,5,1,0,1
1487568686333,5,1,0,1
1487568951567,5,1,0,1
1487568951573,5,1,0,1
1487568986845,5,1,0,1
1487568986850,5,1,0,1
1487569251637,5,1,0,1
1487569251642,5,1,0,1
1487569287325,5,1,0,1
1487569287332,5,1,0,1
1487569851716,5,1,0,1
1487569851722,5,1,0,1
1487569888330,5,1,0,1
1487569888335,5,1,0,1
1487570151779,5,1,0,1
1487570151785,5,1,0,1
1487570188811,5,1,0,1
1487570188818,5,1,0,1
1486360903591,6,1,0,1
1486360903598,6,1,0,1
1486360910406,6,1,0,1
1486360910410,6,1,0,1
1486361203684,6,1,0,1
1486361203689,6,1,0,1
1486361210947,6,1,0,1
1486361210961,6,1,0,1
1486361503704,6,1,0,1
1486361503710,6,1,0,1
1486361511419,6,1,0,1
1486361511423,6,1,0,1
1486361803774,6,1,0,1
1486361803782,6,1,0,1
1486361811952,6,1,0,1
1486361811958,6,1,0,1
1486362103836,6,1,0,1
1486362103842,6,1,0,1
1486362112496,6,1,0,1
1486362112501,6,1,0,1
1486362403909,6,1,0,1
1486362403916,6,1,0,1
1486362709234,6,1,0,1
1486362709240,6,1,0,1
1486362901634,6,1,0,1
1486362901640,6,1,0,1
1486363009302,6,1,0,1
1486363009314,6,1,0,1
1486363151168,6,1,0,1
1486363151181,6,1,0,1
1486363151309,6,1,0,1
1486363151352,6,1,0,1
1486363309384,6,1,0,1
1486363309391,6,1,0,1
1486363451842,6,1,0,1
1486363451847,6,1,0,1
1486363609463,6,1,0,1
1486363609470,6,1,0,1
1486363701792,6,1,0,1
1486363701811,6,1,0,1
1486363701957,6,1,0,1
1486363701961,6,1,0,1
1486363909508,6,1,0,1
1486363909517,6,1,0,1
1486364002472,6,1,0,1
1486364002477,6,1,0,1
1486364209579,6,1,0,1
1486364209585,6,1,0,1
1486364250807,6,1,0,1
1486364250874,6,1,0,1
1486364250981,6,1,0,1
1486364250986,6,1,0,1
1486965719899,6,1,0,1
1486965719912,6,1,0,1
1486965746202,6,1,0,1
1486965746208,6,1,0,1
1486966056235,6,1,0,1
1486966056241,6,1,0,1
1486966059499,6,1,0,1
1486966059507,6,1,0,1
1486966356320,6,1,0,1
1486966356324,6,1,0,1
1486966451613,6,1,0,1
1486966451619,6,1,0,1
1486966656373,6,1,0,1
1486966656379,6,1,0,1
1486966701214,6,1,0,1
1486966701221,6,1,0,1
1486966701378,6,1,0,1
1486966701430,6,1,0,1
1486966956429,6,1,0,1
1486966956445,6,1,0,1
1486967002230,6,1,0,1
1486967002236,6,1,0,1
1486967256516,6,1,0,1
1486967256522,6,1,0,1
1486967257995,6,1,0,1
1486967258005,6,1,0,1
1486967258187,6,1,0,1
1486967258191,6,1,0,1
1486967556557,6,1,0,1
1486967556577,6,1,0,1
1486967558947,6,1,0,1
1486967558951,6,1,0,1
1486967856595,6,1,0,1
1486967856608,6,1,0,1
1486968111964,6,1,0,1
1486968111978,6,1,0,1
1486968156684,6,1,0,1
1486968156691,6,1,0,1
1486968360224,6,1,0,1
1486968360227,6,1,0,1
1486968360373,6,1,0,1
1486968360389,6,1,0,1
1486968456706,6,1,0,1
1486968456712,6,1,0,1
1486968667575,6,1,0,1
1486968667589,6,1,0,1
1486968756775,6,1,0,1
1486968756782,6,1,0,1
1486968913396,6,1,0,1
1486968913414,6,1,0,1
1486968913683,6,1,0,1
1486968913693,6,1,0,1
1486969056852,6,1,0,1
1486969056858,6,1,0,1
1487570451831,6,1,0,1
1487570451840,6,1,0,1
1487570701660,6,1,0,1
1487570701665,6,1,0,1
1487570751896,6,1,0,1
1487570751903,6,1,0,1
1487570778197,6,1,0,1
1487570778245,6,1,0,1
1487571085185,6,1,0,1
1487571085193,6,1,0,1
1487571258497,6,1,0,1
1487571258507,6,1,0,1
1487571385271,6,1,0,1
1487571385277,6,1,0,1
1487571559025,6,1,0,1
1487571559029,6,1,0,1
1487571685359,6,1,0,1
1487571685363,6,1,0,1
1487571859546,6,1,0,1
1487571859550,6,1,0,1
1487571985421,6,1,0,1
1487571985429,6,1,0,1
1487572160055,6,1,0,1
1487572160062,6,1,0,1
1487572285483,6,1,0,1
1487572285491,6,1,0,1
1487572460567,6,1,0,1
1487572460572,6,1,0,1
1487572585548,6,1,0,1
1487572585571,6,1,0,1
1487572799524,6,1,0,1
1487572799532,6,1,0,1
1487572885602,6,1,0,1
1487572885609,6,1,0,1
1487573099970,6,1,0,1
1487573099975,6,1,0,1
1487573185630,6,1,0,1
1487573185636,6,1,0,1
1487573400463,6,1,0,1
1487573400467,6,1,0,1
1487573485682,6,1,0,1
1487573485689,6,1,0,1
1487573700994,6,1,0,1
1487573700998,6,1,0,1
1487573785740,6,1,0,1
1487573785749,6,1,0,1
1486362405108,6,1,1,1
1486362405114,6,1,1,1
1486965752154,6,1,1,1
1486965752158,6,1,1,1
1487570781102,6,1,1,1
1487570781110,6,1,1,1
1486364509640,7,1,0,1
1486364509649,7,1,0,1
1486364551509,7,1,0,1
1486364551514,7,1,0,1
1486365409771,7,1,0,1
1486365409779,7,1,0,1
1486365664543,7,1,0,1
1486365664547,7,1,0,1
1486365709844,7,1,0,1
1486365709852,7,1,0,1
1486365965075,7,1,0,1
1486365965081,7,1,0,1
1486969214314,7,1,0,1
1486969214318,7,1,0,1
1486969356893,7,1,0,1
1486969356899,7,1,0,1
1486969359477,7,1,0,1
1486969359482,7,1,0,1
1486969665227,7,1,0,1
1486969665233,7,1,0,1
1486969762565,7,1,0,1
1486969762570,7,1,0,1
1486969965305,7,1,0,1
1486969965314,7,1,0,1
1486970013956,7,1,0,1
1486970013970,7,1,0,1
1486970014174,7,1,0,1
1486970014179,7,1,0,1
1486970374385,7,1,0,1
1486970641557,7,1,0,1
1486971274531,7,1,0,1
1486971274546,7,1,0,1
1486971498764,7,1,0,1
1486971498770,7,1,0,1
1486971555725,7,1,0,1
1486971555748,7,1,0,1
1486971704698,7,1,0,1
1486971704709,7,1,0,1
1486971704713,7,1,0,1
1486971704717,7,1,0,1
1486971799294,7,1,0,1
1486971799304,7,1,0,1
1486972004692,7,1,0,1
1486972004699,7,1,0,1
1486972020513,7,1,0,1
1486972020541,7,1,0,1
1486972020860,7,1,0,1
1486972020876,7,1,0,1
1486972393183,7,1,0,1
1486972393190,7,1,0,1
1486972393195,7,1,0,1
1486972393199,7,1,0,1
1486972393204,7,1,0,1
1486972399537,7,1,0,1
1486972399555,7,1,0,1
1486972399609,7,1,0,1
1486972399614,7,1,0,1
1486972399619,7,1,0,1
1486972427619,7,1,0,1
1486972427635,7,1,0,1
1486972699639,7,1,0,1
1486972699650,7,1,0,1
1487574019852,7,1,0,1
1487574019856,7,1,0,1
1487574085802,7,1,0,1
1487574085810,7,1,0,1
1487574320352,7,1,0,1
1487574320357,7,1,0,1
1487574385852,7,1,0,1
1487574385867,7,1,0,1
1487574387082,7,1,0,1
1487574387087,7,1,0,1
1487574691240,7,1,0,1
1487574691245,7,1,0,1
1487574694191,7,1,0,1
1487574694195,7,1,0,1
1487574991313,7,1,0,1
1487574991322,7,1,0,1
1487575061914,7,1,0,1
1487575061918,7,1,0,1
1487575461633,7,1,0,1
1487575461644,7,1,0,1
1487575484807,7,1,0,1
1487575484814,7,1,0,1
1487575761633,7,1,0,1
1487575761639,7,1,0,1
1487575792422,7,1,0,1
1487575792426,7,1,0,1
1487576061718,7,1,0,1
1487576061727,7,1,0,1
1487576101034,7,1,0,1
1487576101039,7,1,0,1
1487576361785,7,1,0,1
1487576361792,7,1,0,1
1487576401548,7,1,0,1
1487576401551,7,1,0,1
1487577261936,7,1,0,1
1487577261947,7,1,0,1
1487577325927,7,1,0,1
1487577325931,7,1,0,1
1486368383663,8,1,0,1
1486368717908,8,1,0,1
1486368724412,8,1,0,1
1486368739265,8,1,0,1
1486368781442,8,1,0,1
1486368781478,8,1,0,1
1486368797886,8,1,0,1
1486368812139,8,1,0,1
1486368812144,8,1,0,1
1486368833057,8,1,0,1
1486368902091,8,1,0,1
1486368908711,8,1,0,1
1486368928678,8,1,0,1
1486369002767,8,1,0,1
1486369002799,8,1,0,1
1486369015878,8,1,0,1
1486369051444,8,1,0,1
1486369057944,8,1,0,1
1486369064450,8,1,0,1
1486369136622,8,1,0,1
1486369169059,8,1,0,1
1486369169062,8,1,0,1
1486369175526,8,1,0,1
1486369201463,8,1,0,1
1486369201469,8,1,0,1
1486369227412,8,1,0,1
1486369355817,8,1,0,1
1486369362369,8,1,0,1
1486369369744,8,1,0,1
1486369415307,8,1,0,1
1486369463253,8,1,0,1
1486369469799,8,1,0,1
1486369489449,8,1,0,1
1486369502558,8,1,0,1
1486369521862,8,1,0,1
1486369534867,8,1,0,1
1486369547964,8,1,0,1
1486369547969,8,1,0,1
1486369624980,8,1,0,1
1486369638027,8,1,0,1
1486369638031,8,1,0,1
1486369777864,8,1,0,1
1486369804057,8,1,0,1
1486369920041,8,1,0,1
1486369920052,8,1,0,1
1486370211161,8,1,0,1
1486370243508,8,1,0,1
1486370292386,8,1,0,1
1486370292410,8,1,0,1
1486370292414,8,1,0,1
1486370292419,8,1,0,1
1486370330990,8,1,0,1
1486370330993,8,1,0,1
1486370330999,8,1,0,1
1486370331008,8,1,0,1
1486370331011,8,1,0,1
1486370336656,8,1,0,1
1486370336693,8,1,0,1
1486370491264,8,1,0,1
1486370491276,8,1,0,1
1486370491283,8,1,0,1
1486370512784,8,1,0,1
1486370512800,8,1,0,1
1486370516732,8,1,0,1
1486370516743,8,1,0,1
1486370516754,8,1,0,1
1486370516834,8,1,0,1
1486370516842,8,1,0,1
1486370541665,8,1,0,1
1486370541675,8,1,0,1
1486370541681,8,1,0,1
